01_prenom;02_genre;03_langage
cornelius;m;ancient roman, english, german, biblical
cornell;m;english
corona;f;german
corrado;m;italian
corrie;f;english
corrine;f;english
cort;m;
cortney;f,m;english
cory;m;english
corynn;f;english (modern)
cosette;f;french
cosima;f;italian
cosimo;m;italian
coskun;m;turkish
cosma;f;
cosmin;m;romanian
cosmina;f;romanian
cosmo;m;italian, english, german
costantino;m;italian
costanzo;m;italian
costel;m;romanian
costica;m;romanian
coty;m;english
courtney;f,m;english
cowal;m;irish
cowessess;m;native american
craig;m;scottish, english
crawford;m;english
cree;m;english
creighton;m;english
crescentia;f;german, ancient roman
crescentius;m;ancient roman
crescenzo;m;italian
cressida;f;english
crina;f;romanian
crispian;m;english
crispin;m;english
cristal;f;english (modern)
cristen;f;
cristi;m;romanian
cristián;m;spanish
cristian;m;romanian
cristiana;f;italian
cristiano;m;italian, portuguese
cristina;f;italian, spanish, portuguese, romanian
cristobal;m;spanish
cristoforo;m;italian
cristóvão;m;portuguese
crocetta;f;italian
crocifissa;f;italian
crofton;m;english
cronus;m;greek mythology (latinized)
cruz;f;spanish
cruzita;f;spanish
crystal;f;english
crystin;f;welsh
csaba;m;hungarian
csilla;f;hungarian
ctibor;m;czech
cuán;m;irish
cuauhtemoc;m;native american
cuc;f;vietnamese
cuchulainn;m;irish mythology
culhwch;m;welsh, welsh mythology
cullen;m;english
cunégonde;f;french
cunobelinus;m;ancient celtic (latinized)
cupid;m;roman mythology
curro;m;spanish
curt;m;german, english
curtis;m;english
cuthbert;m;english
cy;m;english
cyan;f;english
cybele;f;near eastern mythology
cybill;f;english
cymbeline;m;english
cymone;f;english
cyndi;f;english
cyneburga;f;anglo-saxon
cynefrið;m;anglo-saxon
cynthia;f;english, greek mythology (latinized)
cyprian;m;
cyra;f;
cyrano;m;literature
cyriaca;f;ancient roman
cyriacus;m;ancient roman
cyril;m;english
cyrilla;f;english
cyrille;m,f;french
cyrus;m;english, biblical
cystenian;m;welsh
czcibor;m;polish
czenzi;f;hungarian
czeslaw;m;polish
da;m;chinese
dacre;m;english
dada;f;african
daedalus;m;greek mythology
daffodil;f;english
dafne;f;italian
dafydd;m;welsh
dag;m;scandinavian
dagda;m;irish mythology
dagfinn;m;norwegian, danish
dagmar;f;scandinavian, german
dagny;f;scandinavian
dagrun;f;norwegian
dahlia;f;english
dai;m;welsh
dàibhidh;m;scottish
daichi;m;japanese
daina;f;lithuanian
dáire;m;irish
dáiríne;f;irish
daisy;f;english
daithí;m;irish
daividh;m;scottish
dakarai;f;african
dakota;m,f;english
dalal;f;arabic
dale;m,f;english
daley;m;irish, english
dalia;f;english
dalibor;m;czech, slovak, croatian, serbian, slovene
dallas;m;english
dalton;m;english
daly;m;irish, english
dalya;f;english
damaris;f;biblical
damayanti;f;indian
damhnait;f;irish
damian;m;english
damiana;f;italian
damiano;m;italian
damien;m;french
damion;m;english
damodar;m;indian
damon;m;greek mythology, english
dan (1);m;biblical
dan (2);m;english, romanian
dana (1);f;polish, czech, romanian
dana (2);m,f;english
danaë;f;greek mythology
danail;m;bulgarian
dand;m;scottish
dane;m;english
danette;f;english
dania;f;
danica;f;
dániel;m;hungarian
daniel;m;english, jewish, french, german, scandinavian, polish, czech, spanish, portuguese, romanian, biblical
daniela;f;polish, czech, romanian, italian
danièle;f;french
daniele;m;italian
daniella;f;english
danielle;f;french, english
daniil;m;russian
danika;f;
danilo;m;italian, portuguese, spanish
danita;f;
dannie;m;english
danny;m;english
dante;m;italian
danut;m;romanian
danuta;f;polish
danya;f;
daphne;f;greek mythology, english
dara (1);m;irish
dara (2);f;jewish
dara (3);f,m;khmer
darach;m;irish
darby;m,f;english
darcey;f;english
darcy;m,f;english
darden;m;english
dareia;f;greek
darell;m;english
daren;m;english
daria;f;italian, english, polish
darian;m,f;english
dariea;f;?
darien;m,f;english
darin;m;english
darina;f;irish
dario;m;italian
darius;m;english
darja;f;slovene
darla;f;english
darleen;f;english
darlene;f;english
darnell;m;english (modern)
darrel;m;english
darrell;m;english
darren;m;english
darrin;m;english
darryl;m;english
darwin;m;english
darya;f;russian
daryl;m;english
dassah;f;jewish
daud;m;indian
dave;m;english
davena;f;
daveth;m;cornish
davey;m;english
dávid;m;hungarian
david;m;english, jewish, french, russian, czech, biblical
davida;f;english
davide;m;italian
davie;m;english
davin;m;english
davina;f;english
davinia;f;
davis;m;english
davy;m;english
dawid;m;polish
dawn;f;english
dawson;m;english
dawud;m;arabic
dax;m;english
dayaram;m;indian
dayna;f;english
dayo;f;african
dayton;m;english
dazbog;m;slavic mythology
dazhdbog;m;slavic mythology
dean;m;english
deana;f;english
deandre;m;english
deangelo;m;english
deanna;f;english
deanne;f;english
dearbháil;f;irish
deasún;m;irish
deb;f;english
debbi;f;english
debbie;f;english
debby;f;english
debdan;m;indian
debora;f;english
deborah;f;english, jewish, biblical
debra;f;english
decebal;m;romanian
decima;f;ancient roman
decimus;m;ancient roman
declan;m;irish
dee;f,m;english
deeann;f;english (modern)
deemer;m;english
deena;f;english
deepak;m;indian
deepali;f;indian
deforest;m;english
deforrest;m;english
deidra;f;english
deidre;f;english
deimos;m;greek mythology
deiniol;m;welsh
deirbhile;f;irish
deirdre;f;english, irish
deitra;f;english
deja;f;
delaiah;m;biblical
delaney;m,f;english
delbert;m;english
delfina;f;italian, spanish
delia;f;english
delice;f;english
delicia;f;english
delilah;f;biblical, english
dell;m;english
della;f;english
delma;f;irish, english
delmar;m;english
delora;f;
delores;f;english
deloris;f;english
delphia;f;
delphina;f;
delphine;f;french
delphinia;f;
delroy;m;english
delshad;m;
delta;f;english
delwyn;m,f;welsh
delyth;f;welsh
dema;f;arabic
demelza;f;english
demeter (1);f;greek mythology
demeter (2);m;hungarian
demetria;f;ancient greek
demetrio;m;italian, spanish, portuguese
demetrios;m;greek, ancient greek
demetrius;m;ancient greek (latinized)
demi;f;greek
democritus;m;ancient greek (latinized)
demon;m;ancient greek
demosthenes;m;ancient greek
demostrate;f;ancient greek
demyan;m;russian
den;m;english
dena;f;english
dene;m;english
dénes;m;hungarian
denholm;m;english
denice;f;english
deniece;f;english (modern)
denis;m;french, russian, english
denisa;f;czech, slovak, romanian
denise;f;french, english
deniz;f,m;turkish
dennis;m;english, french
denny;m;english
denton;m;english
denver;m;english
denys;m;english
denzel;m;english
denzil;m;english
deo;m;indian
deodan;m;indian
deòiridh;f;scottish
deon;m;english
deonne;m;english
deòrsa;m;scottish
derby;m;english
derek;m;english
derick;m;english
dermid;m;scottish
dermot;m;irish
derren;m;english
derrick;m;english
derry;m;
derval;f;irish
dervila;f;irish
dervla;f;irish
derya;f,m;turkish
deryck;m;english (modern)
deryn;f;welsh
desdemona;f;english
deshaun;m;english (modern)
deshawn;m;english (modern)
desi;m;
desiderio;m;italian, spanish
désiré;m;french
désirée;f;french
desislav;m;bulgarian
desislava;f;bulgarian
desmond;m;english, irish
despina;f;greek
despoina;f;greek
desta;f;
destinee;f;english (modern)
destiny;f;english
desya;m;russian
detlef;m;german
detta;m;english
dev;m;indian
devan;m;
devdan;m;indian
devdas;m;indian
deven;m;english
devereux;m;english
devi;f;indian, hindu mythology
devika;f;indian
devin;m;english, irish
devnet;f;irish
devon;m,f;english
dewayne;m;english (modern)
dewey;m;welsh
dewi;m;welsh
dexter;m;english
dezi;m;
dezirinda;f;esperanto
dezsõ;m;hungarian
dhananjay;m;indian
diamantina;f;portuguese
diamond;f;english
diana;f;english, spanish, italian, portuguese, romanian, russian, roman mythology
diane;f;french, english
diann;f;english (modern)
dianna;f;english
dianne;f;french, english
diarmad;m;scottish
diarmaid;m;irish, irish mythology
diarmuid;m;irish
dick;m;english
didi;m;german
didier;m;french
dido;f;roman mythology
diederick;m;german
diederik;m;dutch
diego;m;spanish
dierk;m;german
dieter;m;german
dietfried;m;german
diethelm;m;german
dietlinde;f;german
dietmar;m;german
dietrich;m;german
dieudonné;m;french
dieudonnée;f;french
digby;m;english
diggory;m;english
dijana;f;serbian, croatian, slovene
dikeledi;f;african
dilbert;m;literature
dilip;m;indian
dillon;m;english
dilshad;m;
dilwen;f;welsh
dilwyn;m;welsh
dilys;f;welsh
dima (1);f;arabic
dima (2);m;russian
dimitar;m;bulgarian, serbian
dimitri;m;russian, french
dina;f;english
dinah;f;biblical, english
dinesh;m;indian
dinh;m;vietnamese
dinis;m;portuguese
dino;m;italian
diodore;m;french
diodorus;m;ancient greek (latinized)
diodotus;m;ancient greek (latinized)
diogenes;m;ancient greek
diogo;m;portuguese
diokles;m;ancient greek
diomedes;m;greek mythology
dion;m;french, english
dione;f;english
dionisio;m;spanish, portuguese
dionne;f;english
dionysios;m;greek, ancient greek
dionysius;m;ancient roman
dionysodoros;m;ancient greek
dionysos;m;greek mythology
dionysus;m;roman mythology
dipak;m;indian, hindu mythology
dipali;f;indian
direnç;m;turkish
dirk;m;dutch, english
disgleirio;f,m;welsh
divina;f;english
divya;f;indian
dixie;f;english
diya;m;arabic
djamila;f;arabic
dmitri;m;russian
dmitrii;m;russian
dmitriy;m;russian
dmitry;m;russian
dobrogost;m;
dobromil;m;polish, czech
dodie;f;english
doina;f;romanian
doireann;f;irish
dollie;f;english
dolly;f;english
dolores;f;spanish, english
dolph;m;english
dom;m;english
domen;m;slovene
domenica;f;italian
domenico;m;italian
domhnall;m;scottish, irish
dominga;f;spanish
domingo;m;spanish
domingos;m;portuguese
dominic;m;english
dominica;f;
dominick;m;english
dominik;m;czech, russian, polish, german
dominika;f;czech, russian, polish
dominique;f,m;french
domitilla;f;italian
domonkos;m;hungarian
don;m;english
dona;f;english
donagh;m;irish
donal;m;irish
donald;m;scottish, english
donalda;f;scottish, english
donaldina;f;scottish
donar;m;germanic mythology
donát;m;hungarian
donat;m;french, provençal, catalan, polish
donata;f;italian
donatella;f;italian
donatello;m;italian
donatien;m;french
donatienne;f;french
donato;m;italian, spanish, portuguese
donella;f;scottish, english
donelle;f;
dong;m;chinese
donna;f;english
donnchadh;m;scottish, irish
donnie;m;english
donny;m;english
donovan;m;irish
dóra;f;hungarian
dora;f;english
doran;m;irish, english
dorcas;f;biblical, english
dorean;f;irish
doreen;f;english
dores;f;portuguese
dorete;f;danish
doretta;f;
dorian;m;english
doriane;f;french
doriano;m;italian
dorika;f;hungarian
dorinda;f;english
doris;f;english, german
dorit;f;jewish
dorita;f;
dorofei;m;russian
doron;m;jewish
dorota;f;polish, czech
dorotea;f;italian, spanish
dorotéia;f;portuguese
dorothea;f;english, german, dutch
dorothée;f;french
dorotheos;m;greek, ancient greek
dorothy;f;english
dorottya;f;hungarian
dorris;f;english
dortha;f;english
dorthy;f;english
doru;m;romanian
dory;f;
dosia;f;
dot;f;english
dottie;f;english
dotty;f;english
doug;m;english
dougal;m;scottish, irish
douglas;m;scottish, english
dov;m;jewish
dovid;m;jewish
doyle;m;irish
draco;m;ancient greek (latinized)
dragan;m;serbian, croatian
dragana;f;serbian, croatian
dragica;f;serbian, croatian, slovene
dragomir;m;serbian, croatian, romanian, bulgarian
dragos;m;romanian
drake;m;english
draven;m;english
dreda;f;english
drew;m;english
drina;f;
driscoll;m;english, irish
driskoll;m;english, irish
drogo;m;english
drummond;m;
drusilla;f;biblical, ancient roman
drystan;m;welsh
dua;f;arabic
duana;f;english
duane;m;english, irish
duarte;m;portuguese
dubaku;m,f;african
dubhghall;m;irish, scottish
dubhghlas;m;irish, scottish
duc;m;vietnamese
duci;f;hungarian
dudel;m;jewish
dudley;m;english
duff;m;scottish
dugald;m;scottish
duha;f;arabic
duilio;m;italian
duke;m;english
dulcibella;f;english
dulcie;f;english
duleep;m;indian
dumitru;m;romanian
duncan;m;scottish, english
dung;m;vietnamese
dunja;f;serbian, croatian, slovene
dunstan;m;english
dunya;f;russian
dunyasha;f;russian
duong;m;vietnamese
durand;m;
durga;f;indian, hindu mythology
durward;m;english
dusan;m;czech, serbian, croatian, slovak
dustin;m;english
dusty;m,f;english
duygu;m;turkish
dvorah;f;jewish
dwayne;m;english, irish
dwight;m;english
dwyn;m;celtic mythology
dyan;f;english (modern)
dylan;m;welsh, english, welsh mythology
dylis;f;welsh
dymphna;f;irish
dympna;f;irish
éabha;f;irish
eachann;m;scottish, irish
eadan;f;irish
éadaoin;f;irish
eadbhárd;m;irish
eadburga;f;anglo-saxon
eadwig;m;anglo-saxon
ealasaid;f;scottish
ealdgyð;f;anglo-saxon
ealisaid;f;manx
eallair;m;scottish
eamon;m;irish
éamonn;m;irish
ean;m;manx
eanraig;m;scottish
earl;m;english
earle;m;english
earleen;f;english
earlene;f;english
earline;f;english
earnest;m;english
earnestine;f;english
eartha;f;english
easter;m,f;english
eavan;f;irish
ebba;f;english, german
ebbe;m;german, scandinavian
eben;m;
ebenezer;m;biblical, english
eber;m;irish
eberardo;m;spanish
eberhard;m;german
ebert;m;
ebony;f;english
ebrahim;m;indian
ecaterina;f;romanian
ece;f;turkish
echo;f;greek mythology
eckbert;m;german
eckehard;m;german
eckhard;m;german
ed;m;english
edan;m;irish, scottish
edana;f;
edda;f;italian
eddie;m,f;english
eddy;m;english
edelmira;f;spanish
eden;f;biblical, english
edgar;m;english, french
edgard;m;french
edgardo;m;spanish
edie;f;english
edina;f;hungarian
edison;m;english
edit;f;hungarian
edita;f;czech, slovene
edite;f;portuguese
édith;f;french
edith;f;english
edmé;f;scottish
edmond;m;french
edmonda;f;
edmondo;m;italian
edmund;m;english, german
edmundo;m;spanish, portuguese
edna (1);f;irish, scottish
edna (2);f;biblical
edoardo;m;italian
edom;m;biblical
édouard;m;french
edric;m;english
edsel;m;
eduard;m;german
eduarda;f;portuguese
eduardo;m;spanish, portuguese
edurne;f;basque
edvard;m;scandinavian, hungarian, russian, slovene
edvige;f;italian
edward;m;english, polish
edweena;f;english
edwena;f;english
edwige;f;french
edwin;m;english
edwina;f;english
edwyn;m;english
edwyna;f;english
edyta;f;polish
edytha;f;english
edythe;f;english
eerikki;m;finnish
eero;m;finnish
eetu;m;finnish
eeva;f;finnish
effie;f;scottish, english
efigênia;f;portuguese
efisio;m;italian
efraim;m;jewish, biblical (variant)
efraín;m;spanish
efstathios;m;greek
efua;f;african
egbert;m;english
egidio;m;italian
egil;m;scandinavian
eglantine;f;english
egon;m;german
ehud;m;biblical, jewish
éibhear;m;irish
éibhir;m;irish
eibhlín;f;irish
eideard;m;scottish
eidel;f;jewish
eileen;f;irish, english
eilert;m;frisian, scandinavian
eilidh;f;scottish
eilís;f;irish
eilish;f;irish
eiluned;f;welsh
eilwen;f;welsh
éimhín;m;irish
eimhir;f;scottish
einar;m;scandinavian
einion;m;welsh
einrí;m;irish
eira;f;welsh
eiran;m;
eireann;f;english, irish
eireen;f;english, irish
eirene;f;greek mythology, ancient greek
eirian;f;welsh
eirik;m;norwegian
eirlys;f;welsh
eirwen;f;welsh
eitan;m;jewish
eithne;f;irish, scottish
ekaterina;f;russian, bulgarian, macedonian
ekewaka;m;hawaiian
ekin;f;turkish
ekkehardt;m;german
ekua;f;african
ekwueme;m;african
eladio;m;spanish
elain;f;welsh
elaine;f;english
elario;m;
elba;f;
elbert;m;
elda;f;italian
elder;m;portuguese
eldon;m;english
eldred;m;english
eldreda;f;english
elea;f;english
eleanor;f;english
eleanora;f;english
eleanore;f;english
eleazar;m;biblical
electra;f;greek mythology (latinized)
eleftheria;f;greek
eleftherios;m;greek
elek;m;hungarian
elen;f;welsh
elena;f;italian, spanish, russian, bulgarian, romanian, macedonian
elene;f;greek
eleni;f;greek
elenora;f;english
eleonoora;f;finnish
eleonor;f;english
eleonora;f;italian
eléonore;f;french
eleonore;f;german
eleri;f;welsh
elettra;f;italian
eleuterio;m;spanish, portuguese
eleutherius;m;ancient greek (latinized)
elfa;f;
elfleda;f;english
elfreda;f;english
elfrida;f;english
elfriede;f;german
eli;m;jewish, english, biblical
elia;m;italian
elian;m;spanish
eliana;f;italian, spanish
éliane;f;french
elias;m;greek, spanish, portuguese, finnish, hungarian
elicia;f;english
elidi;f;
eliezer;m;biblical
eligia;f;italian, spanish
eligio;m;italian, spanish
elihu;m;biblical
eliina;f;finnish
eliisa;f;finnish
elijah;m;english, jewish, biblical
elikapeka;f;hawaiian
elin;f;scandinavian
elina;f;finnish
elinor;f;english
eliot;m;english
eliott;m;english
eliphalet;m;biblical (variant)
eliphelet;m;biblical
elisa;f;english, german, italian
elisabet;f;scandinavian
elisabeta;f;romanian
elisabeth;f;english, german, french, scandinavian, biblical (variant)
elisabetta;f;italian
elisavet;f;greek
elisaveta;f;macedonian
élise;f;french
elise;f;english
eliseo;m;italian, spanish
elisha;m;biblical
elisheba;f;biblical
elisheva;f;jewish
elissa (1);f;roman mythology
elissa (2);f;english
elisud;m;welsh
elita;f;
eliud;m;biblical
eliyahu;m;jewish
eliza;f;english
elizabeta;f;slovene
elizabeth;f;english, biblical
elizaveta;f;russian
elkan;m;jewish
elkanah;m;biblical
elke (1);f;dutch, frisian
elke (2);f;jewish
ella;f;english
ellar;m;scottish
elle;f;english
ellen;f;english
ellery;m,f;english
elli (1);f;german
elli (2);f;finnish
ellie;f;english
elliot;m;english
elliott;m;english
ellis (1);m;english
ellis (2);m;welsh
elly;f;english
elma;f;
elmas;f;turkish
elmer;m;english
elmira;f;english
elmo;m;italian
elnathan;m;biblical
elnora;f;english
elodia;f;spanish
élodie;f;french
elof;m;swedish
eloi;m;french
eloisa;f;italian, spanish
éloise;f;french
eloise;f;english
elouise;f;english
elov;m;swedish
eloy;m;spanish
elpida;f;greek
elpidio;m;italian, spanish, portuguese
elpidius;m;late roman
elpis;f;ancient greek
elric;m;english
elrond;m;literature
elroy;m;english
elsa;f;english, german, swedish
elsabeth;f;
elsdon;m;english
else;f;danish, norwegian, german
elsie;f;english
elspet;f;english, scottish
elspeth;f;english, scottish
elton;m;english
eluf;m;danish
eluned;f;welsh
elva;f;
elvin;m;english
elvina;f;
elvira;f;spanish
elvis;m;english
elwin;m;english
elwood;m;english
elwyn;m;english
ely;m;
elyse;f;
elysia;f;
elzbieta;f;polish
em;f;english
emánuel;m;hungarian
emanuel;m;scandinavian
emanuele;m;italian
emel;f;turkish
emelie;f;swedish
emelina;f;english, spanish
emeline;f;french
emely;f;english
emer;f;irish, irish mythology
emerald;f;english
emeric;m;
emerson;m;english
emery;m;english
emi;f;japanese
emidio;m;italian
emil;m;german, scandinavian, czech, hungarian, romanian
émile;m;french
emilee;f;english (modern)
emilia;f;italian, spanish, portuguese, romanian
emilian;m;
emiliana;f;italian, spanish, portuguese
emiliano;m;spanish, italian
émilie;f;french
emilie;f;german
émilien;m;french
emilio;m;italian, spanish, portuguese
emily;f;english
emine;f;turkish
emlyn;m;welsh
emma;f;english, french, italian
emmaline;f;english
emmanouil;m;greek
emmanuel;m;biblical, french, english
emmanuelle;f;french
emmeline;f;english
emmerich;m;german
emmerson;m;english
emmet;m;english
emmett;m;english
emmie;f;english
emmy;f;english
emory;m;english
emrys;m;welsh
emyr;m;welsh
ena;f;irish
encarnacion;f;spanish
endre;m;hungarian
enéas;m;portuguese
enfys;m,f;welsh
engel;m;german
engelbert;m;german
engin;m;turkish
enid;f;welsh, welsh mythology
eniola;m;african
enitan;m;african
ennio;m;italian
ennis;f,m;irish
enoch;m;biblical
enok;m;scandinavian
enola;f;english
enos;m;biblical (variant)
enosh;m;biblical
enric;m;catalan
enrica;f;italian
enrico;m;italian
enrique;m;spanish
enu;m,f;african
enya;f;irish
enyo;f;greek mythology
enzo;m;italian
eoforhild;f;anglo-saxon
eoghan;m;irish, scottish
eoin;m;irish, scottish
eos;f;greek mythology
eowyn;f;literature
epaphras;m;biblical, ancient greek
epaphroditos;m;ancient greek
ephraim;m;biblical, jewish
epifanio;m;spanish
epiktetos;m;ancient greek
epiphany;f;english
epona;f;celtic mythology
eppie;f;english
era;f;
eran;m;biblical
erasmus;m;
erastus;m;biblical
erato;f;greek mythology
ercole;m;italian
ercwlff;m;welsh
erdem;m;turkish
erdmann;m;german
erebus;m;greek mythology (latinized)
eren;m;turkish
erez;m;jewish
erhard;m;german
eric;m;english, french
erica;f;english
erich;m;german
erick;m;english
ericka;f;english
erik;m;scandinavian, czech
erika;f;german, scandinavian, hungarian, czech
erin;f;english, irish
eris;f;greek mythology
erishkigal;f;near eastern mythology
erkki;m;finnish
erland;m;swedish, danish
erle;m;english
erlend;m;norwegian, danish
erma;f;
ermanno;m;italian
ermenegilde;m;french
ermenegildo;m;italian
ermentraud;f;german
ermentraude;f;german
ermete;f;italian
ermintrude;f;english
ermolai;m;russian
ermtraud;f;german
ern;m;english
erna;f;german
ernest;m;english
ernesta;f;italian, spanish, english
ernestine;f;english
ernesto;m;italian, spanish, portuguese
ernie;m;english
ernõ;m;hungarian
ernst;m;german, dutch
eros;m;greek mythology
errol;m;english
erskine;m;scottish, irish, english
ervin;m;hungarian
ervins;m;latvian
erwan;m;breton
erwin;m;german
erykah;f;english (modern)
eryn;f;english
erzsébet;f;hungarian
erzsi;f;hungarian
esa;m;finnish
esaias;m;biblical
esau;m;biblical
esdras;m;biblical
eseld;f;cornish
eser;f,m;turkish
eshe;f;african
esi;f;african
esin;f;turkish
esmail;m;indian
esmaralda;f;english
esmé;m,f;french
esmée;f;french
esmeralda;f;spanish, english
esmond;m;english
esmund;m;english
esperanta;f;esperanto
esperanza;f;spanish
espiridion;m;spanish
essa;f;
essence;f;english
essie;f;english
esta;f;english
estachio;m;italian
estavan;m;spanish
estéban;m;spanish
estee;f;
estefanía;f;spanish
estela;f;portuguese
estella;f;english
estelle;f;english
ester;f;scandinavian
esteri;f;finnish
estevão;m;portuguese
estève;m;provençal
esteve;m;catalan
esther;f;english, jewish, french, biblical
estrella;f;spanish
esyllt;f;welsh
eszter;f;hungarian
eszti;f;hungarian
étaín;f;irish mythology
etel;f;hungarian
etelka;f;hungarian
ethalyn;f;english
ethan;m;jewish, english, biblical
ethel;f;english
ethelbert;m;anglo-saxon (latinized)
etheldreda;f;anglo-saxon (latinized)
ethelinda;f;anglo-saxon
ethelred;m;anglo-saxon (latinized)
ethna;f;irish
ethne;f;irish
étienne;m;french
etna;f;irish
etta;f;english
ettie;f;english
ettore;m;italian
etzel;m;german
euan;m;scottish
euclid;m;ancient greek (anglicized)
eudocia;f;ancient greek (latinized)
eudora;f;english
eudoxia;f;ancient greek
eufemia;f;italian, spanish, portuguese
eugen;m;german, romanian
eugène;m;french
eugene;m;english
eugênia;f;portuguese
eugenia;f;italian, spanish, romanian, english
eugénie;f;french
eugênio;m;portuguese
eugenio;m;italian, spanish
eula;f;english
eulalia;f;english, italian, spanish
eulalie;f;french
eulia;f;
eumelia;f;ancient greek
eunice;f;biblical, english, ancient greek (latinized)
euphemia;f;ancient greek, english
euphranor;m;ancient greek
euphrosyne;f;greek mythology
euripides;m;ancient greek
eurydice;f;greek mythology (latinized)
eusebio;m;spanish, portuguese, italian
eusebios;m;ancient greek
eusebius;m;ancient greek (latinized)
eustace;m;english
eustache;m;french
eustacia;f;
eustaquio;m;spanish, portuguese
eustathios;m;greek, ancient greek
euterpe;f;greek mythology
euthalia;f;ancient greek, greek
euthymius;m;ancient greek (latinized)
eutropia;f;ancient greek (latinized)
eutropio;m;spanish
eutropius;m;ancient greek (latinized)
eutychius;m;ancient greek (latinized)
eutychos;m;ancient greek
éva;f;hungarian
eva;f;italian, spanish, portuguese, english, german, dutch, scandinavian, russian, czech
evadne;f;greek mythology
evaline;f;english
evalyn;f;english
evan;m;welsh, english
evander (1);m;greek mythology (latinized), roman mythology
evander (2);m;scottish, english
evangelina;f;english, bulgarian
evangeline;f;english
evangelos;m;greek
évariste;m;french
evaristo;m;spanish, italian, portuguese
evaristus;m;ancient greek (latinized)
evdokia;f;greek
evdokiya;f;russian, bulgarian
eve;f;english, french, biblical
eveleen;f;english
eveliina;f;finnish
evelina;f;english, italian
eveline;f;english
evelyn;f,m;english
everard;m;english
everett;m;english
everette;m,f;english
everild;f;
everitt;m;english
evert;m;german
evette;f;french, english
evfemia;f;greek
evfrosyne;f;greek
evgeni;m;russian
evgenia;f;greek
evgeniya;f;russian
evgeny;m;russian
evie;f;english
évike;f;hungarian
evita;f;spanish
evonne;f;
evpraksiya;f;russian
evrard;m;french
evron;m;jewish
evstathios;m;greek
evthalia;f;greek
ewa;f;polish
ewald;m;german
ewan;m;scottish
ewart;m;english
ewen;m;scottish
ezar;m;
ezekiel;m;biblical, english
ezra;m;biblical, english, jewish
eztebe;m;basque
faas;m;dutch
fabia;f;ancient roman, italian
fábián;m;hungarian
fabian;m;english, german, dutch, polish
fabiana;f;italian, spanish, portuguese
fabiano;m;italian
fabien;m;french
fabienne;f;french
fabio;m;italian, spanish, portuguese
fabiola;f;italian, french, german
fabius;m;ancient roman
fabó;m;hungarian
fabrice;m;french
fabricio;m;spanish, portuguese
fabrizia;f;italian
fabrizio;m;italian
fachtna;m;irish, irish mythology
faddei;m;russian
fadi;m;arabic
fadia;f;arabic
fadil;m;arabic
fadila;f;arabic
fadl;m;arabic
fae;f;english
fáelán;m;irish
fahd;m;arabic
fahim;m;arabic
fahima;f;arabic
fahmida;f;indian
faiga;f;jewish
faigel;f;jewish
fairuza;f;arabic
faith;f;english
faithe;f;english (modern)
faivish;m;jewish
faizel;m;arabic
fajra;f;esperanto
fakhri;m;arabic
fakhriyya;f;arabic
falk;m;jewish
fancy;f;english
fane;m;romanian
fannie;f;english
fanny;f;english
faolán;m;irish
farag;m;arabic
farah;f;arabic
faraj;m;arabic
faramond;m;
fardoos;f;arabic
fareed;m;indian
farid;m;arabic
farida;f;arabic
fariha;f;arabic
faris;m;arabic
farley;m;english
faron;m;english
farooq;m;arabic
farouk;m;arabic
farquhar;m;irish, scottish
farrah;f;arabic
farran;m;english
farrell;m;english
faruq;m;arabic
fastred;m;
fathi;m;arabic
fathiyya;f;arabic
fatima;f;arabic, portuguese
fatin;f;arabic
fatma;f;arabic
fauna;f;roman mythology
faunus;m;roman mythology
fausta;f;italian, ancient roman
faustina;f;ancient roman, italian
faustine;f;french
fausto;m;italian, spanish, portuguese
faustus;m;ancient roman
fawn;f;english
fawzi;m;arabic
fawziyya;f;arabic
fay;f;english
faye;f;english
fayiz;m;arabic
fayruz;f;arabic
faysal;m;arabic
fayvel;m;jewish
fayza;f;arabic
fearchar;m;irish, scottish
feardorcha;m;irish
fearghal;m;irish
fearghas;m;irish, scottish
fechín;m;irish
fedele;m;italian
fedelma;f;irish
federica;f;italian
federico;m;spanish, italian
federigo;m;spanish
fedora;f;russian
fedot;m;russian
fedya;m;russian
feichín;m;irish
feidhelm;f;irish
feidhlim;m;irish
feidhlimidh;m;irish
feige;f;jewish
feivel;m;jewish
felice;m;italian
felicia;f;ancient roman, english, italian, hungarian
feliciana;f;spanish, italian, ancient roman
feliciano;m;italian, spanish, portuguese
felicidad;f;spanish
felicidade;f;portuguese
félicie;f;french
felicie;f;german
felicien;m;french
felicienne;f;french
felìcita;f;italian
felicity;f;english
felim;m;irish
felina;f;
felipa;f;spanish, portuguese
felipe;m;spanish, portuguese
feliu;m;catalan
félix;m;french
felix;m;english, german, romanian, ancient roman, biblical
femi;m;african
femie;f;english
femke;f;dutch
fenella;f;scottish
fenton;m;english
feodor;m;russian
feodora;f;russian
feofilakt;m;russian
ferapont;m;russian
ferdie;m;english
ferdinand;m;english, german, french, czech
ferdinanda;f;italian, german, czech, english
ferdinando;m;italian
ferdy;m;english
ferenc;m;hungarian
fergal;m;irish
fergie;m,f;scottish
fergus;m;irish, scottish
feri;m;hungarian
ferko;m;hungarian
fermin;m;spanish
fern;f;english
fernand;m;french
fernanda;f;spanish, portuguese
fernande;f;french
fernando;m;spanish, portuguese
fernão;m;portuguese
ferne;f;english (modern)
feroze;m;arabic
ferran;m;catalan
ferrer;m;
ferruccio;m;italian
fester;m;german
festus;m;ancient roman, biblical
ffion;f;welsh
